name,price,available,Url,priceValidUntil
Fully Assembled / Carbon Black - B / Gateron G Pro Red,161.10,False,https://www.keychron.com/products/keychron-q1?variant=39898909048921,2023-08-13
Fully Assembled / Carbon Black - B / Gateron G Pro Blue,161.10,False,https://www.keychron.com/products/keychron-q1?variant=39898909081689,2023-08-13
Fully Assembled / Carbon Black - B / Gateron G Pro Brown,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909114457,2023-08-13
Fully Assembled / Silver Grey - B / Gateron G Pro Red,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909179993,2023-08-13
Fully Assembled / Silver Grey - B / Gateron G Pro Blue,161.10,False,https://www.keychron.com/products/keychron-q1?variant=39898909212761,2023-08-13
Fully Assembled / Silver Grey - B / Gateron G Pro Brown,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909245529,2023-08-13
Fully Assembled / Navy Blue - B / Gateron G Pro Red,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909311065,2023-08-13
Fully Assembled / Navy Blue - B / Gateron G Pro Blue,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909343833,2023-08-13
Fully Assembled / Navy Blue - B / Gateron G Pro Brown,161.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909376601,2023-08-13
Fully Assembled Knob / Carbon Black - B / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974565478489,2023-08-13
Fully Assembled Knob / Carbon Black - B / Gateron G Pro Blue,170.10,False,https://www.keychron.com/products/keychron-q1?variant=39974572359769,2023-08-13
Fully Assembled Knob / Carbon Black - B / Gateron G Pro Brown,170.10,False,https://www.keychron.com/products/keychron-q1?variant=39974578946137,2023-08-13
Fully Assembled Knob / Silver Grey - B / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974586679385,2023-08-13
Fully Assembled Knob / Silver Grey - B / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974590611545,2023-08-13
Fully Assembled Knob / Silver Grey - B / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974595199065,2023-08-13
Fully Assembled Knob / Navy Blue - B / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974600015961,2023-08-13
Fully Assembled Knob / Navy Blue - B / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974609092697,2023-08-13
Fully Assembled Knob / Navy Blue - B / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39974610337881,2023-08-13
Fully Assembled Knob / Carbon Black - A / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898878705753,2023-08-13
Fully Assembled Knob / Carbon Black - A / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898878738521,2023-08-13
Fully Assembled Knob / Carbon Black - A / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898878771289,2023-08-13
Fully Assembled Knob / Carbon Black - A / Gateron Phantom Yellow,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898957742169,2023-08-13
